spe.ID	VOC_id	VOC_counts	VOC_name
ACH1	VOC_269	0	m-Aminophenylacetylene
ACH1	VOC_270	0	n-Butyl nitrite
ACH1	VOC_271	0	t-Butyl isobutyl ketone
ACH1	VOC_272	0	trans,trans-3,5-Heptadien-2-one
ACH2	VOC_001	0	.alpha.-Amino-.gamma.-butyrolactone
ACH2	VOC_002	0	1,1'-Bicyclohexyl, 4-methyl-4'-pentyl-
ACH2	VOC_003	0	1,1-Diethoxycyclohexane
ACH2	VOC_004	0	1,2,3-Benzotriazin-4(3H)-one, 3-[(3-fluorophenyl)methyl]-
ACH2	VOC_005	0	1,2,4,5-Tetrazine, 3,6-bis(1,1-dimethylethyl)-
ACH2	VOC_006	0	1,2,5-Trimethylpyrrole
ACH2	VOC_007	0	1,2-Cyclopentanedicarboxylic acid, 4-ethylidene-, dimethyl ester
ACH2	VOC_008	4375521.546	1,2-Dimethoxy-ethene
ACH2	VOC_009	0	1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-
ACH2	VOC_010	0	1,2-Ethanediol, monoformate
ACH2	VOC_011	0	1,2-Propanediol, 3-methoxy-
ACH2	VOC_012	0	1,3,2-Oxathiaborole, 2-ethyl-
ACH2	VOC_013	0	1,3-Cyclohexanediamine
ACH2	VOC_014	0	1,3-Diazine
ACH2	VOC_015	0	1,3-Dioxane, 2-methyl-
ACH2	VOC_016	0	1,3-Dioxol-2-one
ACH2	VOC_017	0	1,3-Dioxolane, 2-hexyl-
ACH2	VOC_018	0	1,3-Propanediamine
ACH2	VOC_019	0	1,4 Benzodioxan-6-amine
ACH2	VOC_020	0	1,4-Oxathiin, 2,3-dihydro-6-methyl-
ACH2	VOC_021	0	1-(2-Methylallyl)azetidine
ACH2	VOC_022	0	1-(2-Propen-1-yloxy)dodecane
ACH2	VOC_023	0	1-(3-Hydroxy-3-methylbutyl)-3,6-diazahomoadamantan-9-one
ACH2	VOC_024	0	1-Butanol, 2-methyl-, (S)-
ACH2	VOC_025	0	1-Heptanol, 6-methyl-
ACH2	VOC_026	0	1-Methyl-2-phenylcyclopropane
ACH2	VOC_027	0	1-Nitro-2-propanone
ACH2	VOC_028	0	1-Propanol, 2-chloro-2-methyl-
